assessment_id,date,school_id,grade,subject,grading_scale,avg_score,max_marks,total_students_assessed,score_100
TST006409,2025-07-20,SCH0575,4,Mathematics,%,83.8%,100,79,83.8
TST001424,2026-03-06,SCH0214,6,Mathematics,Letter Grade,E,NA,129,50.0
TST006025,2025-06-14,SCH0526,5,Punjabi,Letter Grade,D,NA,88,60.0
TST002211,2026-06-03,SCH0497,3,Science,Letter Grade,C,NA,57,70.0
TST001660,2026-02-23,SCH0433,5,English,pct,69.1%,100,104,69.1
TST002065,2025-11-01,SCH0563,8,Mathematics,Letter Grade,B,NA,42,80.0
TST003035,2025-12-04,SCH0323,3,English,pct,40.8%,100,138,40.8
TST004023,2025-12-30,SCH0438,3,Mathematics,CGPA,6.0,10,104,60.0
TST006747,2025-12-20,SCH0590,7,Mathematics,Letter Grade,C,NA,77,70.0
TST007061,2025-05-22,SCH0557,7,Punjabi,Raw Marks,29.4/50,50,67,58.8
TST004485,2025-12-23,SCH0259,4,Mathematics,Raw Marks,22.1/25,25,138,88.4
TST007529,2025-04-19,SCH0265,4,Hindi,Raw Marks,63.4/100,100,116,63.4
TST007171,2026-02-20,SCH0052,3,Hindi,Letter Grade,E,NA,78,50.0
TST000220,2025-09-22,SCH0253,3,EVS,CGPA,4.8,10,97,48.0
TST003917,2025-10-14,SCH0165,8,Science,CGPA,6.7,10,38,67.0
TST004424,2026-02-28,SCH0296,6,Mathematics,Letter Grade,B,NA,144,80.0
TST006676,2025-10-11,SCH0247,8,Mathematics,CGPA,7.8,10,116,78.0
TST002850,2025-04-09,SCH0370,5,Hindi,Raw Marks,65.6/100,100,67,65.6
TST007383,2025-04-29,SCH0340,6,EVS,Letter Grade,B,NA,30,80.0
TST006050,2025-08-09,SCH0175,6,Punjabi,%,91.4%,100,99,91.4
TST001270,2025-05-08,SCH0204,8,Mathematics,CGPA,7.9,10,98,79.0
TST007385,2026-02-22,SCH0537,8,English,Letter Grade,C,NA,32,70.0
TST006006,2025-12-07,SCH0523,8,Science,Percentage,43.4%,100,56,43.4
TST000690,2026-01-27,SCH0215,5,Mathematics,Raw Marks,22.6/25,25,41,90.4
TST004568,2025-11-10,SCH0083,5,Mathematics,Raw Marks,34.4/50,50,71,68.8
TST004334,2025-05-11,SCH0107,8,Punjabi,Percentage,57.3%,100,131,57.3
TST000562,2026-02-15,SCH0202,7,Mathematics,Raw Marks,45.6/50,50,59,91.2
TST002713,2026-03-21,SCH0453,4,Hindi,Letter Grade,B,NA,85,80.0
TST002076,2025-12-08,SCH0547,8,EVS,%,76.6%,100,105,76.6
TST004311,2026-05-03,SCH0095,4,Mathematics,Raw Marks,71.5/100,100,87,71.5
TST003200,2025-08-11,SCH0107,6,Punjabi,%,86.6%,100,129,86.6
TST002659,2026-02-19,SCH0394,4,Mathematics,Letter Grade,B,NA,112,80.0
TST002667,2026-01-13,SCH0099,4,English,Raw Marks,24.3/50,50,145,48.6
TST005719,2025-08-27,SCH0528,5,EVS,Raw Marks,29.3/50,50,50,58.599999999999994
TST002479,2025-12-28,SCH0282,5,EVS,Raw Marks,29.2/50,50,95,58.4
TST004158,2025-05-25,SCH0576,8,Mathematics,Percentage,55.0%,100,91,55.0
TST005128,2025-11-23,SCH0052,4,English,Percentage,88.5%,100,33,88.5
TST001841,2025-06-10,SCH0249,7,English,Letter Grade,E,NA,141,50.0
TST002697,2026-01-01,SCH0431,8,English,Raw Marks,38.0/50,50,55,76.0
TST005457,2025-07-30,SCH0024,5,Mathematics,Letter Grade,D,NA,93,60.0
TST004500,2025-05-17,SCH0474,6,EVS,Letter Grade,B,NA,127,80.0
TST002648,2025-09-12,SCH0049,7,Hindi,CGPA,6.6,10,95,66.0
TST002829,2026-01-13,SCH0335,5,English,pct,71.8%,100,85,71.8
TST000056,2025-09-04,SCH0050,4,Science,Raw Marks,35.0/50,50,31,70.0
TST001397,2025-09-01,SCH0320,7,Mathematics,Raw Marks,28.8/50,50,87,57.60000000000001
TST001117,2025-09-12,SCH0542,8,English,%,55.9%,100,121,55.9
TST005138,2025-07-06,SCH0536,6,Mathematics,CGPA,9.4,10,122,94.0
TST005308,2025-04-06,SCH0497,4,Mathematics,%,40.5%,100,42,40.5
TST000044,2025-07-10,SCH0150,6,Punjabi,Letter Grade,B,NA,46,80.0
TST001061,2025-11-23,SCH0092,6,Hindi,Letter Grade,B,NA,59,80.0
TST004385,2026-02-07,SCH0350,7,Punjabi,Letter Grade,D,NA,72,60.0
TST001062,2025-07-11,SCH0293,6,Science,%,63.0%,100,62,63.0
TST001977,2025-09-08,SCH0406,3,Mathematics,Raw Marks,41.5/50,50,72,83.0
TST000607,2025-06-02,SCH0463,3,Hindi,Raw Marks,85.1/100,100,37,85.1
TST001352,2025-07-21,SCH0485,7,Hindi,Raw Marks,23.2/25,25,40,92.8
TST005234,2025-07-05,SCH0156,4,Hindi,%,68.9%,100,60,68.9
TST001852,2025-12-30,SCH0115,4,Science,Raw Marks,92.2/100,100,98,92.2
TST000830,2025-10-27,SCH0448,5,Punjabi,CGPA,9.4,10,116,94.0
TST004187,2025-10-24,SCH0143,4,Mathematics,pct,70.6%,100,35,70.6
TST005053,2026-03-15,SCH0161,6,Mathematics,Letter Grade,A,NA,33,90.0
TST005109,2025-06-16,SCH0599,4,Mathematics,Raw Marks,15.7/25,25,40,62.8
TST003384,2025-05-20,SCH0059,6,Hindi,%,69.6%,100,113,69.6
TST002372,2026-01-26,SCH0106,4,English,Letter Grade,B,NA,34,80.0
TST000827,2026-03-23,SCH0467,3,Mathematics,Percentage,52.8%,100,48,52.8
TST004208,2025-07-28,SCH0481,7,Hindi,pct,60.7%,100,104,60.7
TST005794,2025-12-13,SCH0366,3,Mathematics,Raw Marks,85.4/100,100,76,85.4
TST000437,2026-08-02,SCH0354,5,Science,Raw Marks,80.3/100,100,30,80.3
TST006811,2026-01-26,SCH0031,8,English,CGPA,6.3,10,59,63.0
TST007114,2026-02-10,SCH0014,5,Hindi,%,76.2%,100,73,76.2
TST000336,2025-09-30,SCH0568,8,EVS,Percentage,71.7%,100,109,71.7
TST001203,2025-07-07,SCH0192,4,English,%,45.6%,100,131,45.6
TST001447,2026-02-07,SCH0379,4,Mathematics,Letter Grade,C,NA,37,70.0
TST001502,2026-01-19,SCH0539,8,Science,Percentage,86.2%,100,148,86.2
TST000936,2025-10-21,SCH0231,7,Hindi,Letter Grade,A+,NA,104,95.0
TST001067,2025-10-22,SCH0251,3,Hindi,CGPA,8.3,10,143,83.0
TST001541,2025-04-29,SCH0426,6,Mathematics,Letter Grade,B,NA,144,80.0
TST000561,2026-03-13,SCH0246,8,Mathematics,CGPA,8.2,10,108,82.0
TST007961,2025-09-18,SCH0552,6,Mathematics,Raw Marks,39.9/50,50,39,79.8
TST000880,2026-01-25,SCH0089,8,Hindi,pct,51.8%,100,128,51.8
TST000952,2025-12-28,SCH0491,4,Mathematics,Percentage,80.6%,100,108,80.6
TST003142,2025-05-15,SCH0408,7,English,CGPA,6.6,10,73,66.0
TST003551,2025-06-06,SCH0298,8,English,%,82.3%,100,79,82.3
TST005299,2025-07-30,SCH0104,8,English,Raw Marks,25.1/50,50,75,50.2
TST002851,2025-09-18,SCH0328,3,English,Raw Marks,57.6/100,100,116,57.60000000000001
TST005470,2025-12-31,SCH0199,7,English,CGPA,4.2,10,89,42.0
TST006270,2025-10-03,SCH0057,7,English,Raw Marks,15.4/25,25,53,61.6
TST000004,2025-06-28,SCH0370,8,Mathematics,Letter Grade,A,NA,41,90.0
TST005595,2025-05-17,SCH0352,7,Mathematics,CGPA,5.8,10,86,58.0
TST003386,2025-07-22,SCH0236,7,EVS,CGPA,7.2,10,100,72.0
TST006412,2025-05-25,SCH0492,4,Science,Raw Marks,15.1/25,25,138,60.4
TST001622,2025-02-07,SCH0292,3,Mathematics,CGPA,9.4,10,121,94.0
TST003788,2026-02-24,SCH0359,7,Science,CGPA,8.5,10,34,85.0
TST002486,2025-11-18,SCH0530,3,Science,Letter Grade,C,NA,32,70.0
TST002210,2025-05-31,SCH0284,3,Mathematics,pct,56.1%,100,54,56.1
TST006686,2025-09-24,SCH0263,6,EVS,CGPA,5.2,10,73,52.0
TST005368,2025-12-20,SCH0385,6,Mathematics,Letter Grade,A+,NA,98,95.0
TST007903,2025-06-29,SCH0483,5,Mathematics,Raw Marks,37.6/50,50,108,75.2
TST000320,2025-07-20,SCH0020,3,Science,Raw Marks,12.9/25,25,69,51.6
TST003861,2026-01-12,SCH0144,8,Mathematics,%,76.1%,100,65,76.1
TST004535,2025-07-14,SCH0490,8,Science,Percentage,76.0%,100,78,76.0
TST004988,2025-04-01,SCH0092,8,English,CGPA,4.7,10,112,47.0
TST007835,2026-03-26,SCH0176,4,EVS,Raw Marks,92.8/100,100,52,92.8
TST001301,2025-12-15,SCH0418,3,EVS,Letter Grade,C,NA,128,70.0
TST005839,2025-12-27,SCH0376,7,Science,%,43.7%,100,37,43.7
TST002462,2025-11-08,SCH0135,3,Mathematics,Percentage,57.4%,100,85,57.4
TST005758,2026-01-09,SCH0220,7,Mathematics,Letter Grade,D,NA,98,60.0
TST005096,2025-07-28,SCH0454,8,Science,Percentage,91.6%,100,65,91.6
TST005142,2026-01-31,SCH0347,5,Punjabi,CGPA,4.9,10,98,49.0
TST006473,2026-01-04,SCH0428,5,Punjabi,CGPA,4.7,10,113,47.0
TST002242,2026-01-02,SCH0592,5,Mathematics,CGPA,9.0,10,41,90.0
TST006206,2026-08-02,SCH0429,8,Mathematics,Raw Marks,82.8/100,100,127,82.8
TST004606,2026-02-25,SCH0296,5,Mathematics,Raw Marks,11.5/25,25,108,46.0
TST005897,2026-02-17,SCH0034,6,Mathematics,Percentage,52.2%,100,93,52.2
TST000601,2025-11-19,SCH0037,4,Mathematics,Letter Grade,B,NA,47,80.0
TST003443,2025-07-08,SCH0432,3,Punjabi,Letter Grade,A,NA,114,90.0
TST000191,2025-05-23,SCH0478,4,Science,Raw Marks,22.8/25,25,49,91.2
TST006320,2025-10-26,SCH0535,8,Mathematics,CGPA,6.4,10,86,64.0
TST005808,2025-11-24,SCH0182,5,Punjabi,Letter Grade,D,NA,85,60.0
TST006892,2025-09-13,SCH0377,5,Hindi,CGPA,4.5,10,101,45.0
TST003934,2025-12-08,SCH0097,3,Punjabi,Letter Grade,B,NA,119,80.0
TST004632,2025-12-31,SCH0562,6,EVS,Letter Grade,B,NA,33,80.0
TST003294,2025-11-29,SCH0335,3,Mathematics,%,88.6%,100,115,88.6
TST000600,2025-05-07,SCH0218,4,Punjabi,%,77.1%,100,42,77.1
TST003039,2025-12-07,SCH0301,8,English,%,40.1%,100,32,40.1
TST001586,2025-07-17,SCH0496,5,EVS,Raw Marks,26.6/50,50,78,53.2
TST006563,2025-04-23,SCH0031,3,EVS,%,84.0%,100,29,84.0
TST000869,2025-07-24,SCH0017,7,Science,CGPA,4.4,10,97,44.0
TST006661,2026-06-03,SCH0144,5,Science,pct,90.0%,100,138,90.0
TST005347,2026-03-27,SCH0315,7,Punjabi,Raw Marks,70.6/100,100,50,70.6
TST007955,2025-09-21,SCH0030,3,Mathematics,CGPA,9.4,10,139,94.0
TST005768,2025-08-22,SCH0046,8,Science,Letter Grade,E,NA,144,50.0
TST005094,2025-06-18,SCH0177,6,Mathematics,CGPA,7.7,10,138,77.0
TST006157,2025-12-27,SCH0092,3,EVS,Raw Marks,64.5/100,100,75,64.5
TST002920,2026-01-03,SCH0538,6,EVS,Percentage,87.1%,100,116,87.1
TST006031,2025-08-02,SCH0292,4,Science,CGPA,8.5,10,28,85.0
TST003954,2026-03-07,SCH0438,4,Mathematics,Letter Grade,D,NA,32,60.0
TST004544,2025-08-25,SCH0578,6,Punjabi,CGPA,6.3,10,135,63.0
TST005216,2025-07-08,SCH0249,4,Hindi,Percentage,67.8%,100,82,67.8
TST006240,2025-06-10,SCH0427,5,Punjabi,CGPA,8.5,10,95,85.0
TST002765,2025-05-08,SCH0379,3,Punjabi,Letter Grade,C,NA,83,70.0
TST003021,2025-08-21,SCH0248,3,Hindi,CGPA,6.3,10,81,63.0
TST000251,2025-10-23,SCH0258,3,Mathematics,CGPA,7.7,10,55,77.0
TST004170,2025-10-08,SCH0448,6,Hindi,Percentage,54.3%,100,110,54.3
TST007047,2025-01-04,SCH0023,7,Mathematics,Letter Grade,D,NA,58,60.0
TST004152,2026-02-16,SCH0209,4,English,CGPA,5.8,10,119,58.0
TST001074,2025-09-14,SCH0473,7,Punjabi,CGPA,6.1,10,120,61.0
TST004533,2025-11-28,SCH0344,6,Punjabi,Raw Marks,85.4/100,100,96,85.4
TST006020,2025-04-02,SCH0211,3,Mathematics,pct,68.2%,100,122,68.2
TST005901,2025-10-05,SCH0087,4,EVS,CGPA,8.4,10,139,84.0
TST004693,2025-05-17,SCH0437,8,Mathematics,Letter Grade,D,NA,50,60.0
TST000050,2025-08-20,SCH0372,3,Mathematics,Raw Marks,22.6/25,25,64,90.4
TST006872,2025-09-12,SCH0360,7,Mathematics,Percentage,47.3%,100,62,47.3
TST006252,2026-02-01,SCH0384,8,Mathematics,Letter Grade,E,NA,46,50.0
TST006850,2025-10-22,SCH0242,6,Mathematics,Raw Marks,44.2/50,50,76,88.4
TST004220,2025-10-16,SCH0201,8,Hindi,CGPA,8.9,10,94,89.0
TST003017,2025-03-05,SCH0357,5,Mathematics,CGPA,5.5,10,63,55.0
TST005541,2025-07-29,SCH0193,5,Mathematics,Raw Marks,41.1/50,50,29,82.2
TST002009,2025-10-08,SCH0222,3,EVS,Letter Grade,B,NA,66,80.0
TST006732,2026-02-17,SCH0424,8,English,Raw Marks,16.8/25,25,41,67.2
TST002703,2025-07-14,SCH0096,3,EVS,CGPA,7.4,10,99,74.0
TST001188,2025-12-23,SCH0183,7,Mathematics,Letter Grade,D,NA,23,60.0
TST005628,2025-06-05,SCH0419,5,Mathematics,%,79.7%,100,109,79.7
TST002237,2025-08-08,SCH0123,5,Mathematics,Letter Grade,D,NA,88,60.0
TST001744,2026-06-02,SCH0305,7,Mathematics,Raw Marks,19.1/25,25,41,76.4
TST004825,2025-05-12,SCH0212,3,Mathematics,CGPA,5.6,10,139,56.0
TST000219,2025-12-21,SCH0276,6,Mathematics,Percentage,43.1%,100,131,43.1
TST004010,2025-11-29,SCH0080,5,EVS,%,73.4%,100,117,73.4
TST004184,2025-10-29,SCH0326,6,Punjabi,CGPA,6.6,10,105,66.0
TST003408,2025-12-26,SCH0424,4,English,Letter Grade,D,NA,22,60.0
TST006730,2025-05-17,SCH0106,3,Mathematics,Percentage,58.8%,100,114,58.8
TST004386,2025-05-25,SCH0533,4,Punjabi,%,57.6%,100,138,57.6
TST003815,2025-09-21,SCH0038,3,Mathematics,Percentage,67.0%,100,46,67.0
TST000895,2026-03-23,SCH0568,6,Science,Raw Marks,15.4/25,25,140,61.6
TST000545,2026-01-17,SCH0429,3,Mathematics,pct,54.0%,100,145,54.0
TST005775,2025-11-18,SCH0135,8,Hindi,Raw Marks,41.3/50,50,31,82.6
TST002271,2025-11-20,SCH0334,7,Punjabi,Raw Marks,45.8/50,50,36,91.6
TST003790,2026-01-24,SCH0135,8,Science,Letter Grade,B,NA,26,80.0
TST003210,2025-03-04,SCH0119,7,English,Letter Grade,C,NA,148,70.0
TST005964,2025-10-22,SCH0116,7,Punjabi,CGPA,5.1,10,54,51.0
TST006176,2025-11-29,SCH0253,4,Mathematics,Raw Marks,93.5/100,100,26,93.5
TST001724,2025-09-16,SCH0139,7,English,%,94.4%,100,49,94.4
TST001619,2025-05-18,SCH0283,6,Hindi,CGPA,8.0,10,125,80.0
TST006500,2025-12-11,SCH0010,6,English,pct,52.2%,100,56,52.2
TST004001,2026-03-17,SCH0212,8,Mathematics,Raw Marks,73.7/100,100,42,73.7
TST003862,2026-01-31,SCH0044,4,Science,%,46.5%,100,49,46.5
TST006374,2025-10-25,SCH0492,5,EVS,Letter Grade,D,NA,80,60.0
TST001146,2025-05-11,SCH0185,5,Mathematics,%,93.1%,100,125,93.1
TST005462,2025-06-24,SCH0531,8,Punjabi,CGPA,7.3,10,81,73.0
TST001068,2025-05-07,SCH0571,8,Mathematics,Letter Grade,B,NA,85,80.0
TST005791,2025-09-11,SCH0135,5,Science,Percentage,55.0%,100,32,55.0
TST001705,2025-04-01,SCH0310,8,Mathematics,Raw Marks,23.7/50,50,54,47.4
TST004494,2026-03-16,SCH0115,4,Mathematics,Raw Marks,48.1/100,100,90,48.1
TST000458,2025-12-22,SCH0257,3,English,Percentage,79.6%,100,146,79.6
TST004738,2025-10-25,SCH0139,6,Hindi,Percentage,49.9%,100,64,49.9
TST007313,2025-04-29,SCH0075,6,English,Raw Marks,17.5/25,25,65,70.0
TST002903,2025-11-20,SCH0198,8,Mathematics,CGPA,5.6,10,22,56.0
TST007059,2026-07-01,SCH0059,4,Science,Raw Marks,34.3/50,50,100,68.6
TST001914,2025-08-25,SCH0552,6,Hindi,CGPA,4.5,10,27,45.0
TST006219,2025-08-09,SCH0094,4,Science,%,48.7%,100,112,48.7
TST006634,2025-12-30,SCH0303,3,Hindi,CGPA,8.4,10,93,84.0
TST004230,2025-06-26,SCH0271,6,EVS,CGPA,8.9,10,73,89.0
TST000528,2025-06-10,SCH0598,3,Mathematics,Letter Grade,D,NA,74,60.0
TST000999,2025-05-09,SCH0540,3,Hindi,Percentage,87.9%,100,64,87.9
TST000643,2026-01-25,SCH0419,8,Mathematics,CGPA,5.1,10,30,51.0
TST003644,2025-12-16,SCH0160,4,EVS,CGPA,6.6,10,113,66.0
TST005783,2025-09-27,SCH0232,6,EVS,%,52.6%,100,126,52.6
TST002892,2025-08-17,SCH0338,5,Mathematics,%,65.3%,100,93,65.3
TST005067,2025-08-14,SCH0205,5,Mathematics,CGPA,7.0,10,128,70.0
TST006990,2026-01-13,SCH0192,8,Mathematics,CGPA,8.7,10,117,87.0
TST003626,2025-04-03,SCH0250,4,Science,Letter Grade,E,NA,122,50.0
TST003271,2025-06-07,SCH0597,5,Hindi,Raw Marks,29.0/50,50,22,57.99999999999999
TST005592,2025-04-28,SCH0039,8,Punjabi,Letter Grade,C,NA,117,70.0
TST006024,2025-07-13,SCH0155,3,Mathematics,CGPA,8.1,10,50,81.0
TST000571,2025-10-29,SCH0296,4,Hindi,CGPA,4.3,10,28,43.0
TST006794,2025-06-11,SCH0137,7,Mathematics,Percentage,43.9%,100,36,43.9
TST005125,2026-05-01,SCH0330,8,English,pct,71.3%,100,137,71.3
TST001098,2025-04-08,SCH0583,8,English,Letter Grade,C,NA,91,70.0
TST003478,2025-04-27,SCH0517,3,Mathematics,pct,55.6%,100,80,55.6
TST003819,2025-04-30,SCH0491,6,Mathematics,Letter Grade,E,NA,117,50.0
TST007189,2025-06-16,SCH0380,6,Punjabi,pct,90.3%,100,41,90.3
TST000157,2025-11-12,SCH0421,5,Mathematics,Raw Marks,36.8/50,50,43,73.6
TST003985,2025-04-21,SCH0458,7,Mathematics,Letter Grade,B,NA,142,80.0
TST006152,2025-12-12,SCH0049,6,Mathematics,Raw Marks,27.9/50,50,68,55.8
TST006398,2025-10-24,SCH0296,4,Mathematics,CGPA,8.5,10,45,85.0
TST006896,2026-01-14,SCH0096,5,Hindi,Letter Grade,B,NA,118,80.0
TST006386,2026-03-21,SCH0091,5,Punjabi,Raw Marks,56.2/100,100,41,56.2
TST007795,2025-04-28,SCH0486,7,Mathematics,Raw Marks,91.8/100,100,59,91.8
TST007293,2025-06-17,SCH0310,8,Mathematics,Letter Grade,D,NA,126,60.0
TST001366,2025-05-24,SCH0074,7,English,Letter Grade,D,NA,83,60.0
TST000470,2025-04-24,SCH0581,3,Mathematics,Percentage,72.0%,100,53,72.0
TST006968,2025-11-19,SCH0252,8,Mathematics,Letter Grade,C,NA,88,70.0
TST007117,2026-01-24,SCH0301,3,Hindi,Raw Marks,20.4/25,25,104,81.6
TST004963,2026-03-29,SCH0015,8,Mathematics,pct,49.9%,100,91,49.9
TST001059,2025-12-08,SCH0473,7,Mathematics,Percentage,48.4%,100,130,48.4
TST001309,2026-03-10,SCH0341,4,Mathematics,%,81.3%,100,56,81.3
TST004237,2025-09-18,SCH0081,7,English,%,59.0%,100,127,59.0
TST005519,2025-06-15,SCH0529,7,Science,CGPA,7.6,10,21,76.0
TST007911,2025-09-02,SCH0225,3,Mathematics,CGPA,5.3,10,51,53.0
TST000889,2025-07-09,SCH0531,8,English,Letter Grade,B,NA,137,80.0
TST002471,2025-07-13,SCH0415,3,EVS,CGPA,9.3,10,72,93.0
TST006505,2025-11-10,SCH0142,5,Mathematics,Raw Marks,71.7/100,100,81,71.7
TST003717,2025-12-08,SCH0083,3,English,Raw Marks,39.5/50,50,49,79.0
TST005869,2026-01-09,SCH0010,5,Mathematics,Letter Grade,D,NA,111,60.0
TST004430,2025-08-31,SCH0155,6,Punjabi,Letter Grade,C,NA,92,70.0
TST004330,2026-03-06,SCH0435,4,Mathematics,CGPA,9.4,10,34,94.0
TST001346,2025-07-24,SCH0390,5,Science,Raw Marks,19.4/25,25,112,77.6
TST000751,2025-10-26,SCH0057,4,EVS,CGPA,8.8,10,52,88.0
TST003795,2025-05-13,SCH0501,3,Punjabi,Percentage,69.0%,100,86,69.0
TST002657,2025-06-16,SCH0240,6,Hindi,Raw Marks,26.2/50,50,101,52.400000000000006
TST004294,2025-08-29,SCH0386,8,Mathematics,Raw Marks,20.9/50,50,106,41.8
TST007676,2026-03-18,SCH0354,5,Science,CGPA,7.3,10,26,73.0
TST007193,2026-03-10,SCH0100,8,EVS,pct,66.7%,100,63,66.7
TST006244,2025-01-09,SCH0246,5,Hindi,Raw Marks,35.7/50,50,46,71.4
TST001073,2025-07-11,SCH0296,8,English,Percentage,69.9%,100,64,69.9
TST005906,2025-12-13,SCH0302,5,Mathematics,Percentage,47.3%,100,88,47.3
TST000060,2025-06-15,SCH0549,3,EVS,%,58.4%,100,120,58.4
TST005159,2025-10-06,SCH0264,4,Science,CGPA,5.0,10,75,50.0
TST007941,2025-04-19,SCH0033,6,Mathematics,Raw Marks,29.0/50,50,61,57.99999999999999
TST006328,2026-01-27,SCH0355,4,Mathematics,Raw Marks,23.8/50,50,103,47.6
TST007242,2025-06-24,SCH0438,7,Punjabi,Raw Marks,20.3/25,25,108,81.2
TST004317,2025-12-25,SCH0030,4,English,Raw Marks,63.9/100,100,73,63.9
TST000851,2026-01-21,SCH0305,6,Science,Raw Marks,16.4/25,25,25,65.6
TST003263,2025-07-21,SCH0281,8,Hindi,Raw Marks,57.5/100,100,104,57.49999999999999
TST004833,2025-08-29,SCH0041,5,Hindi,Raw Marks,21.6/25,25,132,86.4
TST003040,2025-07-24,SCH0168,8,English,pct,90.1%,100,129,90.1
TST001725,2025-12-07,SCH0204,8,EVS,CGPA,5.0,10,127,50.0
TST005435,2025-08-31,SCH0587,3,Mathematics,Raw Marks,43.1/100,100,50,43.1
TST001899,2026-12-02,SCH0590,3,Punjabi,Raw Marks,23.6/25,25,119,94.4
TST003109,2025-07-01,SCH0393,5,Mathematics,Percentage,91.8%,100,90,91.8
TST005232,2025-08-28,SCH0113,3,English,Letter Grade,C,NA,133,70.0
TST003001,2025-02-05,SCH0050,3,Mathematics,Letter Grade,C,NA,71,70.0
TST001826,2025-08-11,SCH0118,8,English,CGPA,7.2,10,64,72.0
TST003697,2026-03-03,SCH0295,7,Mathematics,CGPA,6.5,10,149,65.0
TST001949,2026-01-24,SCH0419,8,English,pct,73.5%,100,37,73.5
TST007857,2026-02-14,SCH0570,7,Science,pct,65.4%,100,113,65.4
TST000961,2025-08-11,SCH0008,6,Mathematics,%,72.0%,100,135,72.0
TST002804,2025-08-19,SCH0539,6,Hindi,Letter Grade,D,NA,90,60.0
TST002998,2025-05-21,SCH0065,5,Mathematics,CGPA,6.0,10,103,60.0
TST007733,2026-03-16,SCH0592,5,Mathematics,Letter Grade,C,NA,71,70.0
TST000253,2025-10-20,SCH0230,3,EVS,Letter Grade,B,NA,148,80.0
TST001651,2025-09-19,SCH0112,8,Hindi,Percentage,63.4%,100,131,63.4
TST005175,2026-10-02,SCH0154,7,Mathematics,Raw Marks,34.5/50,50,70,69.0
TST003703,2026-03-18,SCH0269,6,Punjabi,Letter Grade,B,NA,98,80.0
TST000596,2025-04-24,SCH0069,6,EVS,CGPA,6.8,10,78,68.0
TST001159,2025-05-24,SCH0321,8,Science,Percentage,85.6%,100,140,85.6
TST006624,2025-04-08,SCH0549,8,Mathematics,pct,90.0%,100,50,90.0
TST000512,2026-02-21,SCH0525,5,Punjabi,pct,83.3%,100,83,83.3
TST000232,2025-07-17,SCH0042,4,Mathematics,Raw Marks,10.2/25,25,95,40.8
TST001011,2025-05-09,SCH0161,5,English,Percentage,58.3%,100,122,58.3
TST004065,2025-11-13,SCH0347,7,EVS,CGPA,5.5,10,105,55.0
TST003241,2025-06-15,SCH0109,5,Mathematics,Raw Marks,20.2/25,25,123,80.8
TST004623,2025-05-11,SCH0434,3,Mathematics,%,83.9%,100,56,83.9
TST002215,2025-04-20,SCH0303,7,Hindi,Letter Grade,B,NA,21,80.0
TST007638,2025-11-10,SCH0502,5,EVS,Raw Marks,66.0/100,100,82,66.0
TST001663,2025-12-26,SCH0404,4,Hindi,Letter Grade,C,NA,67,70.0
TST002696,2025-05-23,SCH0437,3,Mathematics,CGPA,6.7,10,68,67.0
TST002429,2025-05-14,SCH0149,4,Mathematics,CGPA,8.7,10,71,87.0
TST006607,2025-04-19,SCH0469,6,English,Percentage,46.9%,100,43,46.9
TST003728,2025-12-22,SCH0243,8,Hindi,CGPA,7.2,10,55,72.0
TST006034,2026-01-27,SCH0028,8,Science,CGPA,5.5,10,86,55.0
TST003614,2025-09-12,SCH0534,6,Mathematics,Raw Marks,43.5/50,50,83,87.0
TST005593,2026-03-20,SCH0423,3,Science,Raw Marks,47.0/50,50,123,94.0
TST000202,2026-02-01,SCH0600,7,Hindi,Letter Grade,A,NA,95,90.0
TST005509,2026-03-31,SCH0410,3,Hindi,CGPA,7.2,10,71,72.0
TST001165,2025-10-14,SCH0094,8,Mathematics,Raw Marks,13.9/25,25,143,55.60000000000001
TST003415,2025-05-25,SCH0536,5,Science,CGPA,9.4,10,41,94.0
TST000479,2025-09-26,SCH0184,5,EVS,Percentage,71.0%,100,78,71.0
TST002563,2025-11-15,SCH0188,8,English,Raw Marks,20.5/25,25,107,82.0
TST004512,2025-05-09,SCH0594,5,Mathematics,Raw Marks,19.1/25,25,136,76.4
TST004349,2025-11-06,SCH0249,4,Mathematics,CGPA,9.0,10,25,90.0
TST000431,2025-08-23,SCH0460,6,Mathematics,%,79.6%,100,144,79.6
TST007144,2025-05-29,SCH0417,8,Punjabi,Letter Grade,B,NA,87,80.0
TST005269,2025-05-31,SCH0032,8,Mathematics,Letter Grade,C,NA,60,70.0
TST001753,2025-08-10,SCH0203,3,English,%,45.1%,100,112,45.1
TST002235,2025-10-24,SCH0009,6,Mathematics,Percentage,55.9%,100,104,55.9
TST004273,2026-09-03,SCH0453,8,EVS,Letter Grade,C,NA,68,70.0
TST007182,2026-03-07,SCH0360,6,Punjabi,CGPA,4.0,10,92,40.0
TST000327,2025-06-04,SCH0266,8,Hindi,CGPA,8.4,10,125,84.0
TST007464,2025-10-24,SCH0408,6,Punjabi,CGPA,8.8,10,109,88.0
TST004108,2025-07-26,SCH0238,7,Mathematics,CGPA,5.9,10,56,59.0
TST006526,2025-06-10,SCH0561,5,Science,Letter Grade,B,NA,88,80.0
TST005017,2025-11-29,SCH0093,8,Punjabi,Letter Grade,B,NA,112,80.0
TST004420,2025-06-22,SCH0521,3,Hindi,CGPA,8.6,10,148,86.0
TST007291,2025-08-19,SCH0428,5,EVS,%,64.0%,100,137,64.0
TST004052,2025-04-30,SCH0573,5,Mathematics,Raw Marks,79.3/100,100,34,79.3
